OBJECTID,Geographic ID for geographic unit,Planning Region,ARC Modeling Area,Logical record number,Summary level of geographic unit,Geography Vintage,Name of geographic unit,"# Population 16 years and over, 2022","# Population 16 years and over, 2022 (MOE)","# In labor force, 2022","# In labor force, 2022 (MOE)","% In labor force, 2022","% In labor force, 2022 (MOE)","# In civilian labor force, 2022","# In civilian labor force, 2022 (MOE)","% In civilian labor force, 2022","% In civilian labor force, 2022 (MOE)","# Civilian employed, 2022","# Civilian employed, 2022 (MOE)","% Civilian employed, 2022","% Civilian employed, 2022 (MOE)","# Civilian unemployed, 2022","# Civilian unemployed, 2022 (MOE)","% Civilian unemployed, 2022","% Civilian unemployed, 2022 (MOE)","# In armed forces, 2022","# In armed forces, 2022 (MOE)","% In armed forces, 2022","% In armed forces, 2022 (MOE)","# Not in labor force, 2022","# Not in labor force, 2022 (MOE)","% Not in labor force, 2022","% Not in labor force, 2022 (MOE)","% Unemployed as part of total labor force (including armed forces), 2022","% Unemployed as part of total labor force (including armed forces), 2022 (MOE)","# Civilian Unemployed, 2022","# Civilian Unemployed, 2022 (MOE)","% Unemployment Rate, 2022","% Unemployment Rate, 2022 (MOE)",Shape__Area,Shape__Length
51,NSAK01,Atlanta Regional Commission,Yes,4692,NSA,2020,NSA K01,3352,578,2096,384,62.5,3.8,2096,384,62.5,3.8,1922,372,57.3,5,175,128,5.2,3.7,0,76,0,2.3,1255,421,37.5,10.8,8.3,5.9,175,128,8.3,5.9,3440514.75,8763.554786
52,NSAK02,Atlanta Regional Commission,Yes,4693,NSA,2020,NSA K02,2336,463,1203,310,51.5,8.5,1203,310,51.5,8.5,1064,297,45.6,8.9,139,125,5.9,5.2,0,75,0,3.2,1133,368,48.5,12.5,11.5,10,139,125,11.5,10,3398269.992,9661.803669
53,NSAK03,Atlanta Regional Commission,Yes,4694,NSA,2020,NSA K03,2685,271,545,115,20.3,3.8,545,115,20.3,3.8,491,111,18.3,3.7,54,72,2,2.7,0,61,0,2.3,2140,256,79.7,5.2,9.9,13.1,54,72,9.9,13.1,2098902.676,7089.292161
54,NSAL01,Atlanta Regional Commission,Yes,4695,NSA,2020,NSA L01,3489,622,1905,343,54.6,1.3,1895,342,54.3,1.6,1727,332,49.5,3.6,168,141,4.8,3.9,10,89,0.3,2.5,1584,397,45.4,8,8.8,7.2,168,141,8.9,7.3,1924442.25,5615.160826
55,NSAL02,Atlanta Regional Commission,Yes,4696,NSA,2020,NSA L02,2267,328,1535,326,67.7,10.5,1535,326,67.7,10.5,1499,323,66.1,10.6,36,115,1.6,5.1,0,97,0,4.3,732,211,32.3,8,2.3,7.5,36,115,2.3,7.5,2881399.188,8623.963896
56,NSAM01,Atlanta Regional Commission,Yes,4697,NSA,2020,NSA M01,17930,857,10553,956,58.9,4.5,10461,952,58.3,4.5,9568,929,53.4,4.5,894,290,5,1.6,92,191,0.5,1.1,7377,972,41.1,5,8.5,2.6,894,290,8.5,2.7,8568665.699,12855.82528
57,NSAM02,Atlanta Regional Commission,Yes,4698,NSA,2020,NSA M02,15607,1012,11171,936,71.6,3.8,11130,934,71.3,3.8,10552,882,67.6,3.6,578,365,3.7,2.3,41,180,0.3,1.2,4436,786,28.4,4.7,5.2,3.2,578,365,5.2,3.3,5745394.266,10662.793
58,NSAN01,Atlanta Regional Commission,Yes,4699,NSA,2020,NSA N01,5587,531,4791,618,85.7,7.5,4782,618,85.6,7.5,4498,583,80.5,7.1,284,219,5.1,3.9,9,92,0.2,1.6,797,285,14.3,4.9,5.9,4.5,284,219,5.9,4.5,3049287.813,8107.776539
59,NSAN02,Atlanta Regional Commission,Yes,4700,NSA,2020,NSA N02,7263,629,6241,620,85.9,4.2,6230,620,85.8,4.2,6152,618,84.7,4.3,78,128,1.1,1.8,11,103,0.2,1.4,1021,335,14.1,4.5,1.2,2,78,128,1.2,2,3641529.844,9014.899985
60,NSAN03,Atlanta Regional Commission,Yes,4701,NSA,2020,NSA N03,4353,462,3403,415,78.2,4.7,3403,415,78.2,4.7,3242,387,74.5,4.1,162,154,3.7,3.5,0,88,0,2,950,212,21.8,4.3,4.7,4.5,162,154,4.7,4.5,4407288.543,10095.31444
61,NSAN04,Atlanta Regional Commission,Yes,4702,NSA,2020,NSA N04,2634,477,2046,383,77.7,3.7,2046,383,77.7,3.7,1846,325,70.1,17.7,200,200,7.6,7.4,0,55,0,2.1,589,176,22.3,5.3,9.8,9.6,200,200,9.8,9.6,1868436.527,7312.858941
62,NSAO01,Atlanta Regional Commission,Yes,4703,NSA,2020,NSA O01,3812,657,2878,537,75.5,5.4,2878,537,75.5,5.4,2815,532,73.8,5.7,63,93,1.7,2.4,0,69,0,1.8,934,208,24.5,3.5,2.2,3.2,63,93,2.2,3.2,5695371.727,15497.79434
63,NSAO02,Atlanta Regional Commission,Yes,4704,NSA,2020,NSA O02,6072,666,4725,562,77.8,3.6,4725,562,77.8,3.6,4258,509,70.1,3.3,467,259,7.7,4.2,0,97,0,1.6,1347,302,22.2,4.3,9.9,5.4,467,259,9.9,5.4,5524699.594,14253.31502
64,NSAO03,Atlanta Regional Commission,Yes,4705,NSA,2020,NSA O03,4402,525,3425,488,77.8,6.1,3425,488,77.8,6.1,3289,483,74.7,6.4,136,116,3.1,2.6,0,82,0,1.9,977,256,22.2,5.2,4,3.3,136,116,4,3.3,3448974.063,11155.24139
65,NSAP01,Atlanta Regional Commission,Yes,4706,NSA,2020,NSA P01,4174,645,2150,567,51.5,11,2150,567,51.5,11,2052,553,49.2,10.8,98,163,2.3,3.9,0,85,0,2,2024,518,48.5,9.9,4.5,7.5,98,163,4.5,7.5,11058559.43,18526.78127
66,NSAP02,Atlanta Regional Commission,Yes,4707,NSA,2020,NSA P02,2880,390,2370,627,82.3,18.7,2370,627,82.3,18.7,2194,607,76.2,18.4,176,167,6.1,5.7,0,58,0,2,510,295,17.7,9.9,7.4,6.8,176,167,7.4,6.8,4315839.984,10898.10446
