OBJECTID,Geographic ID for geographic unit,Planning Region,ARC Modeling Area,Logical record number,Summary level of geographic unit,Geography Vintage,Name of geographic unit,"# Total households, 2022","# Total households, 2022 (MOE)","# Household income less than $10,000, 2022","# Household income less than $10,000, 2022 (MOE)","% Household income less than $10,000, 2022","% Household income less than $10,000, 2022 (MOE)","# Household income $10,000 to $14,999, 2022","# Household income $10,000 to $14,999, 2022 (MOE)","% Household income $10,000 to $14,999, 2022","% Household income $10,000 to $14,999, 2022 (MOE)","# Household income $15,000 to $24,999, 2022","# Household income $15,000 to $24,999, 2022 (MOE)","% Household income $15,000 to $24,999, 2022","% Household income $15,000 to $24,999, 2022 (MOE)","# Household income $25,000 to $34,999, 2022","# Household income $25,000 to $34,999, 2022 (MOE)","% Household income $25,000 to $34,999, 2022","% Household income $25,000 to $34,999, 2022 (MOE)","# Household income $35,000 to $49,999, 2022","# Household income $35,000 to $49,999, 2022 (MOE)","% Household income $35,000 to $49,999, 2022","% Household income $35,000 to $49,999, 2022 (MOE)","# Household income $50,000 to $74,999, 2022","# Household income $50,000 to $74,999, 2022 (MOE)","% Household income $50,000 to $74,999, 2022","% Household income $50,000 to $74,999, 2022 (MOE)","# Household income $75,000 to $99,999, 2022","# Household income $75,000 to $99,999, 2022 (MOE)","% Household income $75,000 to $99,999, 2022","% Household income $75,000 to $99,999, 2022 (MOE)","# Household income $100,000 to $149,999, 2022","# Household income $100,000 to $149,999, 2022 (MOE)","% Household income $100,000 to $149,999, 2022","% Household income $100,000 to $149,999, 2022 (MOE)","# Household income $150,000 to $199,999, 2022","# Household income $150,000 to $199,999, 2022 (MOE)","% Household income $150,000 to $199,999, 2022","% Household income $150,000 to $199,999, 2022 (MOE)","# Household income $200,000 or more, 2022","# Household income $200,000 or more, 2022 (MOE)","% Household income $200,000 or more, 2022","% Household income $200,000 or more, 2022 (MOE)","# Household income less than $35,000, 2022","# Household income less than $35,000, 2022 (MOE)","% Household income less than $35,000, 2022","% Household income less than $35,000, 2022 (MOE)","# Household income $35,000 to $74,999, 2022","# Household income $35,000 to $74,999, 2022 (MOE)","% Household income $35,000 to $74,999, 2022","% Household income $35,000 to $74,999, 2022 (MOE)","# Household income $75,000 to $199,999, 2022","# Household income $75,000 to $199,999, 2022 (MOE)","% Household income $75,000 to $199,999, 2022","% Household income $75,000 to $199,999, 2022 (MOE)","Median household income, 2022","Median household income, 2022 (MOE)","Aggregate household income, 2022","Aggregate household income, 2022 (MOE)","Mean household income, 2022","Mean household income, 2022 (MOE)","Median family income (dollars), 2022","Median family income (dollars), 2022 (MOE)","Median family income (dollars), single mother, 2022","Median family income (dollars), single mother, 2022 (MOE)","Median family income (dollars), single father, 2022","Median family income (dollars), single father, 2022 (MOE)","Median family income (dollars), single parent, 2022","Median family income (dollars), single parent, 2022 (MOE)","# Households with earnings, 2022","# Households with earnings, 2022 (MOE)","% Households with earnings, 2022","% Households with earnings, 2022 (MOE)","Mean household earnings (dollars), 2022","Mean household earnings (dollars), 2022 (MOE)","# Households with Social Security income, 2022","# Households with Social Security income, 2022 (MOE)","% Households with Social Security income, 2022","% Households with Social Security income, 2022 (MOE)","Mean household Social Security income (dollars), 2022","Mean household Social Security income (dollars), 2022 (MOE)","# Households with retirement income, 2022","# Households with retirement income, 2022 (MOE)","% Households with retirement income, 2022","% Households with retirement income, 2022 (MOE)","Mean household retirement income (dollars), 2022","Mean household retirement income (dollars), 2022 (MOE)","# Households with Supplemental Security Income, 2022","# Households with Supplemental Security Income, 2022 (MOE)","% Households with Supplemental Security Income, 2022","% Households with Supplemental Security Income, 2022 (MOE)","Mean household Supplemental Security Income (dollars), 2022","Mean household Supplemental Security Income (dollars), 2022 (MOE)","# Households with cash public assistance income, 2022","# Households with cash public assistance income, 2022 (MOE)","% Households with cash public assistance income, 2022","% Households with cash public assistance income, 2022 (MOE)","Mean household cash public assistance income (dollars), 2022","Mean household cash public assistance income (dollars), 2022 (MOE)","# Households with Food Stamp/SNAP benefits in past 12 months, 2022","# Households with Food Stamp/SNAP benefits in past 12 months, 2022 (MOE)","% Households with Food Stamp/SNAP benefits in past 12 months, 2022","% Households with Food Stamp/SNAP benefits in past 12 months, 2022 (MOE)","# Households with children receiving Food Stamps/SNAP, 2022","# Households with children receiving Food Stamps/SNAP, 2022 (MOE)","% Households with children receiving Food Stamps/SNAP, 2022","% Households with children receiving Food Stamps/SNAP, 2022 (MOE)","# Total population, 2022","# Total population, 2022 (MOE)","Per capita income (dollars), 2022","Per capita income (dollars), 2022 (MOE)",Shape__Area,Shape__Length
216,1347140,Atlanta Regional Commission,Yes,696,City,2021,Locust Grove city,2950,281,67,74,2.3,2.5,31,30,1.1,1,113,79,3.8,2.6,84,69,2.8,2.3,588,249,19.9,8.2,866,441,29.4,14.7,507,236,17.2,7.8,298,142,10.1,4.7,288,159,9.8,5.3,108,83,3.7,2.8,295,131,10,4.4,1454,507,49.3,16.5,1093,318,37.1,10.2,67143,17142,250376300,41204710,84873,11390,73430,12144,,,,,49324,9914,2448,241,83,2.1,76585,11887,641,209,21.7,6.8,20410,2672,625,256,21.2,8.4,25472,12181,421,400,14.3,13.5,15687,6057,44,45,1.5,1.5,15975,9931,420,176,14.2,5.8,229,141,18.5,10.3,9367,21,27453.8,4126.2,43837369.01,90782.56342
224,1348624,Atlanta Regional Commission,Yes,710,City,2021,McDonough city,9695,535,215,108,2.2,1.1,384,237,4,2.4,515,271,5.3,2.8,685,250,7.1,2.6,1309,381,13.5,3.9,1513,425,15.6,4.3,1704,409,17.6,4.1,2066,487,21.3,4.9,650,238,6.7,2.4,654,302,6.7,3.1,1799,451,18.6,4.5,2822,571,29.1,5.7,4420,679,45.6,6.5,77804,4798,887941800,90962127,91588,7905,82880,4638,41085,18732,78366,10354,44677,7520,8338,446,86,6.6,89600,9898,2154,383,22.2,3.8,19227,4722,2309,419,23.8,4.1,28537,4900,547,226,5.6,2.3,12295,2713,161,108,1.7,1.1,3451,1764,1390,318,14.3,3.2,863,260,22.8,6.2,29134,54,32712.4,2633.8,50497026.69,130575.162
232,1349756,Atlanta Regional Commission,Yes,718,City,2021,Marietta city,24403,936,1043,316,4.3,1.3,1205,428,4.9,1.7,1657,355,6.8,1.4,1800,350,7.4,1.4,3203,518,13.1,2.1,4340,719,17.8,2.9,2831,490,11.6,2,3401,479,13.9,1.9,1754,333,7.2,1.3,3169,542,13,2.2,5705,729,23.4,2.9,7543,886,30.9,3.4,7986,762,32.7,2.9,67589,6217,2435702800,146467408,99812,4623,83282,13913,42748,11515,57650,3169,47233,3007,20069,784,82.2,0.6,97791,6025,6280,644,25.7,2.4,22860,788,4314,486,17.7,1.9,36311,5086,755,217,3.1,0.9,10493,1830,295,141,1.2,0.6,4162,1446,1889,463,7.7,1.9,803,342,12.1,5,61387,53,40767.2,2054.5,88892671.47,208618.4473
246,1353004,Atlanta Regional Commission,Yes,743,City,2021,Morrow city,1571,228,30,30,1.9,1.9,52,53,3.3,3.3,168,120,10.7,7.5,183,130,11.6,8.1,117,81,7.4,5,248,150,15.8,9.3,285,128,18.1,7.7,320,163,20.4,9.9,129,78,8.2,4.8,39,50,2.5,3.2,433,187,27.6,11.2,365,170,23.2,10.3,734,221,46.7,12.3,64890,29561,125702600,19805036,80014,4907,65958,21264,,,,,17500,18474,1269,199,80.8,4.8,85818,9150,448,184,28.5,11,18079,10273,254,137,16.2,8.4,22693,9367,112,86,7.1,5.4,11890,8890,36,57,2.3,3.6,,,174,104,11.1,6.4,73,76,11.5,11.5,6563,21,20509.8,2085,13101105.29,31447.78015
250,1353172,Atlanta Regional Commission,Yes,747,City,2021,Mountain Park city,415,136,12,16,2.9,3.7,3,5,0.7,1.2,18,19,4.3,4.3,18,25,4.3,5.9,38,19,9.2,3.5,44,27,10.6,5.5,28,19,6.7,4,68,37,16.4,7,61,41,14.7,8.6,125,102,30.1,22.5,51,36,12.3,7.6,82,33,19.8,4.6,157,58,37.8,6.6,130208,56775,65310500,34612261,157375,65546,169881,66156,,,,,93750,,358,127,86.3,11.7,154207,66078,130,51,31.3,6.8,23563,1909,129,102,31.1,22.4,34884,37112,11,10,2.7,2.2,8745,3672,4,7,1,1.7,,,5,7,1.2,1.6,0,14,0,14.3,959,293,70478.8,32805.7,2006668.82,6832.920049
278,1359724,Atlanta Regional Commission,Yes,781,City,2021,Peachtree City city,14598,481,396,224,2.7,1.5,246,143,1.7,1,723,299,5,2,410,156,2.8,1.1,967,235,6.6,1.6,1787,334,12.2,2.2,1755,401,12,2.7,2823,374,19.3,2.5,1659,222,11.4,1.5,3832,351,26.3,2.2,1775,429,12.2,2.9,2754,408,18.9,2.7,6237,591,42.7,3.8,111850,9956,2173448400,120961190,148887,6678,139152,12959,65822,11190,51684,20815,62756,4302,11046,499,75.7,2.3,152973,6829,4691,405,32.1,2.6,28675,1100,4672,448,32,2.9,43391,3624,563,160,3.9,1.1,13649,3837,134,77,0.9,0.5,3206,2082,350,178,2.4,1.2,117,67,2.2,1.2,38414,51,57848.6,2997.4,97007000.77,63610.52283
279,1359735,Atlanta Regional Commission,Yes,782,City,2021,Peachtree Corners city,17231,713,968,321,5.6,1.8,377,188,2.2,1.1,833,223,4.8,1.3,1514,310,8.8,1.8,1816,414,10.5,2.4,3185,689,18.5,3.9,1881,365,10.9,2.1,2523,408,14.6,2.3,1450,251,8.4,1.4,2684,364,15.6,2,3692,534,21.4,3,5001,804,29,4.5,5854,602,34,3.2,74716,3494,2015592900,121484926,116975,5126,103080,11711,32736,6616,,,40781,6952,14794,713,85.9,2.1,117560,4758,3605,628,20.9,3.5,25346,2223,2392,348,13.9,1.9,42126,7580,253,110,1.5,0.6,9153,2180,304,115,1.8,0.7,2685,485,1309,447,7.6,2.6,567,202,10.3,3.5,42147,69,48522.8,2764.3,61294239.13,63050.92217
288,1362524,Atlanta Regional Commission,Yes,800,City,2021,Powder Springs city,6082,360,69,64,1.1,1.1,130,96,2.1,1.6,250,128,4.1,2.1,268,153,4.4,2.5,532,200,8.7,3.2,1139,294,18.7,4.7,1138,257,18.7,4.1,1229,339,20.2,5.5,903,285,14.8,4.6,424,197,7,3.2,717,230,11.8,3.7,1671,356,27.5,5.6,3270,512,53.8,7.8,88311,11605,655419100,78706968,107764,11260,97282,11108,49431,45924,,,48433,13409,5102,380,83.9,3.8,104256,10405,1570,262,25.8,4,22299,2540,1750,341,28.8,5.3,32330,9646,134,67,2.2,1.1,12872,7795,117,145,1.9,2.4,,,499,219,8.2,3.6,439,200,17.9,7.9,16930,51,39077.5,4084.1,28951488.71,88595.8197
303,1365464,Atlanta Regional Commission,Yes,821,City,2021,Riverdale city,5715,436,395,191,6.9,3.3,248,119,4.3,2.1,258,128,4.5,2.2,878,289,15.4,4.9,687,197,12,3.3,846,249,14.8,4.2,687,184,12,3.1,1033,393,18.1,6.7,526,217,9.2,3.7,157,90,2.7,1.6,1779,388,31.1,6.4,1533,317,26.8,5.2,2246,485,39.3,7.9,61622,10452,448641300,50520373,78502,6502,78099,10615,40476,36599,,,33098,10134,4716,394,82.5,2.8,77771,8137,1645,326,28.8,5.3,18906,2869,1684,362,29.5,5.9,19465,5256,332,119,5.8,2,11040,2799,119,59,2.1,1,3788,2070,1214,259,21.2,4.2,572,197,38.4,11.7,14933,27,29405.7,2769,16433090.67,48307.79973
315,1368516,Atlanta Regional Commission,Yes,835,City,2021,Sandy Springs city,51204,1209,2244,620,4.4,1.2,1142,321,2.2,0.6,1801,408,3.5,0.8,2271,539,4.4,1,3822,691,7.5,1.3,8016,1040,15.7,2,8253,1063,16.1,2,7883,900,15.4,1.7,4796,665,9.4,1.3,10976,750,21.4,1.4,7458,972,14.6,1.9,11838,1249,23.1,2.4,20932,1543,40.9,2.9,93303,2690,8050195700,330885313,157218,5289,138532,10546,51798,6771,91107,29043,57156,3580,43805,1306,85.5,1.6,150731,4693,10330,907,20.2,1.7,25033,647,7995,754,15.6,1.4,44053,4828,925,232,1.8,0.5,11317,3894,770,276,1.5,0.5,5678,2358,2003,403,3.9,0.8,1246,372,10.8,3.2,107221,81,75614.5,2775.1,145317909.7,82987.91075
