OBJECTID,Geographic ID for geographic unit,Planning Region,ARC Modeling Area,Logical record number,Summary level of geographic unit,Geography Vintage,Name of geographic unit,"# Total households, 2022","# Total households, 2022 (MOE)","# Household income less than $10,000, 2022","# Household income less than $10,000, 2022 (MOE)","% Household income less than $10,000, 2022","% Household income less than $10,000, 2022 (MOE)","# Household income $10,000 to $14,999, 2022","# Household income $10,000 to $14,999, 2022 (MOE)","% Household income $10,000 to $14,999, 2022","% Household income $10,000 to $14,999, 2022 (MOE)","# Household income $15,000 to $24,999, 2022","# Household income $15,000 to $24,999, 2022 (MOE)","% Household income $15,000 to $24,999, 2022","% Household income $15,000 to $24,999, 2022 (MOE)","# Household income $25,000 to $34,999, 2022","# Household income $25,000 to $34,999, 2022 (MOE)","% Household income $25,000 to $34,999, 2022","% Household income $25,000 to $34,999, 2022 (MOE)","# Household income $35,000 to $49,999, 2022","# Household income $35,000 to $49,999, 2022 (MOE)","% Household income $35,000 to $49,999, 2022","% Household income $35,000 to $49,999, 2022 (MOE)","# Household income $50,000 to $74,999, 2022","# Household income $50,000 to $74,999, 2022 (MOE)","% Household income $50,000 to $74,999, 2022","% Household income $50,000 to $74,999, 2022 (MOE)","# Household income $75,000 to $99,999, 2022","# Household income $75,000 to $99,999, 2022 (MOE)","% Household income $75,000 to $99,999, 2022","% Household income $75,000 to $99,999, 2022 (MOE)","# Household income $100,000 to $149,999, 2022","# Household income $100,000 to $149,999, 2022 (MOE)","% Household income $100,000 to $149,999, 2022","% Household income $100,000 to $149,999, 2022 (MOE)","# Household income $150,000 to $199,999, 2022","# Household income $150,000 to $199,999, 2022 (MOE)","% Household income $150,000 to $199,999, 2022","% Household income $150,000 to $199,999, 2022 (MOE)","# Household income $200,000 or more, 2022","# Household income $200,000 or more, 2022 (MOE)","% Household income $200,000 or more, 2022","% Household income $200,000 or more, 2022 (MOE)","# Household income less than $35,000, 2022","# Household income less than $35,000, 2022 (MOE)","% Household income less than $35,000, 2022","% Household income less than $35,000, 2022 (MOE)","# Household income $35,000 to $74,999, 2022","# Household income $35,000 to $74,999, 2022 (MOE)","% Household income $35,000 to $74,999, 2022","% Household income $35,000 to $74,999, 2022 (MOE)","# Household income $75,000 to $199,999, 2022","# Household income $75,000 to $199,999, 2022 (MOE)","% Household income $75,000 to $199,999, 2022","% Household income $75,000 to $199,999, 2022 (MOE)","Median household income, 2022","Median household income, 2022 (MOE)","Aggregate household income, 2022","Aggregate household income, 2022 (MOE)","Mean household income, 2022","Mean household income, 2022 (MOE)","Median family income (dollars), 2022","Median family income (dollars), 2022 (MOE)","Median family income (dollars), single mother, 2022","Median family income (dollars), single mother, 2022 (MOE)","Median family income (dollars), single father, 2022","Median family income (dollars), single father, 2022 (MOE)","Median family income (dollars), single parent, 2022","Median family income (dollars), single parent, 2022 (MOE)","# Households with earnings, 2022","# Households with earnings, 2022 (MOE)","% Households with earnings, 2022","% Households with earnings, 2022 (MOE)","Mean household earnings (dollars), 2022","Mean household earnings (dollars), 2022 (MOE)","# Households with Social Security income, 2022","# Households with Social Security income, 2022 (MOE)","% Households with Social Security income, 2022","% Households with Social Security income, 2022 (MOE)","Mean household Social Security income (dollars), 2022","Mean household Social Security income (dollars), 2022 (MOE)","# Households with retirement income, 2022","# Households with retirement income, 2022 (MOE)","% Households with retirement income, 2022","% Households with retirement income, 2022 (MOE)","Mean household retirement income (dollars), 2022","Mean household retirement income (dollars), 2022 (MOE)","# Households with Supplemental Security Income, 2022","# Households with Supplemental Security Income, 2022 (MOE)","% Households with Supplemental Security Income, 2022","% Households with Supplemental Security Income, 2022 (MOE)","Mean household Supplemental Security Income (dollars), 2022","Mean household Supplemental Security Income (dollars), 2022 (MOE)","# Households with cash public assistance income, 2022","# Households with cash public assistance income, 2022 (MOE)","% Households with cash public assistance income, 2022","% Households with cash public assistance income, 2022 (MOE)","Mean household cash public assistance income (dollars), 2022","Mean household cash public assistance income (dollars), 2022 (MOE)","# Households with Food Stamp/SNAP benefits in past 12 months, 2022","# Households with Food Stamp/SNAP benefits in past 12 months, 2022 (MOE)","% Households with Food Stamp/SNAP benefits in past 12 months, 2022","% Households with Food Stamp/SNAP benefits in past 12 months, 2022 (MOE)","# Households with children receiving Food Stamps/SNAP, 2022","# Households with children receiving Food Stamps/SNAP, 2022 (MOE)","% Households with children receiving Food Stamps/SNAP, 2022","% Households with children receiving Food Stamps/SNAP, 2022 (MOE)","# Total population, 2022","# Total population, 2022 (MOE)","Per capita income (dollars), 2022","Per capita income (dollars), 2022 (MOE)",Shape__Area,Shape__Length
326,1371492,Atlanta Regional Commission,Yes,851,City,2021,Smyrna city,24694,691,589,177,2.4,0.7,419,195,1.7,0.8,1037,254,4.2,1,1451,383,5.9,1.5,2297,545,9.3,2.2,4276,624,17.3,2.5,3097,521,12.5,2.1,4581,539,18.6,2.1,2584,491,10.5,2,4363,482,17.7,1.9,3496,529,14.2,2.1,6573,829,26.6,3.3,10262,896,41.6,3.4,92258,4972,3320491900,214901549,134466,7847,125741,10184,50221,14974,69250,50404,53477,4390,21808,644,88.3,0.8,135243,8482,4345,481,17.6,1.9,22787,2142,4647,597,18.8,2.4,27739,6668,451,180,1.8,0.7,8882,4750,304,125,1.2,0.5,1424,391,1385,358,5.6,1.4,728,210,10.9,3,55863,53,59850.7,3457.3,59419474.57,138775.1521
327,1371604,Atlanta Regional Commission,Yes,852,City,2021,Snellville city,6792,385,124,108,1.8,1.6,169,135,2.5,2,217,174,3.2,2.6,344,177,5.1,2.6,585,198,8.6,2.9,1448,356,21.3,5.1,954,241,14,3.5,1594,356,23.5,5.1,766,219,11.3,3.2,591,281,8.7,4.1,854,302,12.6,4.4,2033,408,29.9,5.8,3314,483,48.8,6.5,88586,9161,691945600,60396481,101877,6762,94195,10179,69402,19849,76300,1827,77228,6675,5394,320,79.4,1.4,100468,8293,2389,355,35.2,4.8,24264,1952,1898,390,27.9,5.5,27163,2958,201,97,3,1.4,10144,837,122,101,1.8,1.5,1493,891,421,200,6.2,2.9,240,140,10.1,5.8,20895,36,34608.7,2362.7,39968890.62,65597.18059
329,1372122,Atlanta Regional Commission,Yes,855,City,2021,South Fulton city,39600,1492,1975,552,5,1.4,855,405,2.2,1,2174,620,5.5,1.6,2355,582,5.9,1.5,4991,1177,12.6,2.9,6818,1036,17.2,2.5,5789,902,14.6,2.2,8156,1182,20.6,2.9,2862,504,7.2,1.2,3625,712,9.2,1.8,7359,1092,18.6,2.7,11809,1568,29.8,3.8,16807,1570,42.4,3.6,77488,7516,3759079600,163122833,94926,2044,92810,9011,42831,12154,73296,16228,48865,3643,33481,1365,84.5,1.3,92414,3415,10339,1141,26.1,2.7,20213,3097,10296,1077,26,2.5,27970,2595,2274,445,5.7,1.1,10989,1450,438,178,1.1,0.4,2455,1252,7076,1221,17.9,3,4220,988,31.3,6.8,107865,55,36153.5,1347.7,352853316.9,449226.9209
334,1373704,Atlanta Regional Commission,Yes,863,City,2021,Stockbridge city,11280,670,132,110,1.2,1,203,185,1.8,1.6,426,191,3.8,1.7,1270,484,11.3,4.2,1332,453,11.8,4,2635,632,23.4,5.4,2057,467,18.2,4,1885,427,16.7,3.7,766,270,6.8,2.4,574,193,5.1,1.7,2031,563,18,4.9,3967,778,35.2,6.6,4708,688,41.7,5.6,72175,8713,963105700,72483089,85382,3946,80772,5249,44759,19772,,,46313,3972,9334,621,82.7,2.5,85760,3795,2907,580,25.8,4.9,21342,2523,2577,616,22.8,5.3,22471,6242,332,153,2.9,1.3,8783,1756,127,104,1.1,0.9,617,479,1011,360,9,3.1,573,274,16.5,7.5,28858,86,35967.8,2319.5,51642024.5,156310.4438
335,1373784,Atlanta Regional Commission,Yes,864,City,2021,Stonecrest city,20439,1156,1201,460,5.9,2.2,609,282,3,1.4,1859,708,9.1,3.4,1542,414,7.5,2,2891,685,14.1,3.3,3874,696,19,3.2,3362,650,16.4,3,2913,679,14.3,3.2,1265,306,6.2,1.5,923,305,4.5,1.5,5211,981,25.5,4.6,6765,977,33.1,4.4,7540,988,36.9,4.4,63438,7027,1597882000,112193812,78178,3253,75771,5813,46418,7597,102653,46478,47320,1018,17450,1065,85.4,2,74917,3929,5315,734,26,3.3,17817,1616,4010,532,19.6,2.4,26050,3170,1334,408,6.5,2,11559,1590,257,132,1.3,0.6,4804,3150,3555,738,17.4,3.5,2385,656,32.6,8.6,59445,58,29932.5,1658.1,142401093.4,78825.67255
338,1374936,Atlanta Regional Commission,Yes,872,City,2021,Suwanee city,7847,502,174,108,2.2,1.4,190,269,2.4,3.4,482,362,6.1,4.6,135,86,1.7,1.1,745,311,9.5,3.9,1188,319,15.1,4,978,305,12.5,3.8,1674,324,21.3,3.9,547,191,7,2.4,1734,398,22.1,4.9,981,472,12.5,6,1933,446,24.6,5.5,3199,484,40.8,5.6,100780,15916,999010200,118752503,127311,12755,115713,7254,77431,25228,71792,16337,75058,6345,7110,492,90.6,2.4,123258,13208,1320,284,16.8,3.5,25188,2789,1060,292,13.5,3.6,31723,8488,158,91,2,1.2,11727,5259,103,89,1.3,1.1,5897,1846,193,114,2.5,1.4,83,77,3.1,2.8,21238,57,47763.3,5376.8,41815837.54,58680.30442
357,1378044,Atlanta Regional Commission,Yes,902,City,2021,Tyrone town,2755,201,65,85,2.4,3.1,15,24,0.5,0.9,58,66,2.1,2.4,115,109,4.2,3.9,56,56,2,2,445,202,16.2,7.2,451,173,16.4,6.2,583,200,21.2,7.1,354,168,12.8,6,613,156,22.3,5.4,253,155,9.2,5.6,501,210,18.2,7.5,1388,313,50.4,10.8,112898,14709,417342800,53562130,151486,15995,121710,39007,96042,65804,,,86198,20339,2269,204,82.4,4.3,151585,20787,863,164,31.3,5.5,26702,2651,720,206,26.1,7.2,31767,9663,208,157,7.5,5.7,14561,15094,31,40,1.1,1.4,,,31,46,1.1,1.7,31,46,3.3,4.8,7710,34,54823.6,6004.6,48075796.81,58020.96962
360,1378324,Atlanta Regional Commission,Yes,905,City,2021,Union City city,11311,901,586,269,5.2,2.3,382,258,3.4,2.3,1452,582,12.8,5,1559,619,13.8,5.4,2088,1003,18.5,8.7,1595,467,14.1,4,1435,442,12.7,3.8,1660,496,14.7,4.2,381,298,3.4,2.6,173,159,1.5,1.4,3979,928,35.2,7.7,3683,1106,32.6,9.4,3476,728,30.7,6,46696,5587,694534800,69316979,61403,3692,66176,16647,48448,8390,,,46823,3763,9204,1014,81.4,6.2,64250,3633,2295,433,20.3,3.5,15792,1898,1722,454,15.2,3.8,20732,8485,1025,560,9.1,4.9,13464,6530,227,173,2,1.5,2732,855,2456,554,21.7,4.6,1327,412,36.3,10,26869,27,26548.8,1871.9,74225176.6,183816.1545
388,1384176,Atlanta Regional Commission,Yes,942,City,2021,Woodstock city,13640,540,205,107,1.5,0.8,248,124,1.8,0.9,735,284,5.4,2.1,659,243,4.8,1.8,1424,452,10.4,3.3,1930,413,14.1,3,1500,298,11,2.1,3263,546,23.9,3.9,1648,312,12.1,2.2,2028,374,14.9,2.7,1847,408,13.5,2.9,3354,613,24.6,4.4,6411,696,47,4.7,100913,5528,1584289200,94193911,116150,5152,118200,6075,50625,30346,182688,151128,89205,17383,11815,543,86.6,2,117880,5908,3390,512,24.9,3.6,23410,2260,2696,467,19.8,3.3,26134,2001,284,141,2.1,1,8762,6116,142,82,1,0.6,4914,3804,276,134,2,1,119,86,2.5,1.8,35171,60,47009.4,2299.6,49345172.49,129051.4186
412,1311056,Atlanta Regional Commission,Yes,481,City,2021,Brooks town,255,61,2,3,0.8,1.2,19,25,7.5,9.6,23,16,9,5.7,9,9,3.5,3.6,6,15,2.4,5.9,36,27,14.1,10.1,31,27,12.2,10.2,55,23,21.6,7.6,30,21,11.8,7.7,44,21,17.3,7.1,53,31,20.8,11.1,42,31,16.5,11.5,116,41,45.5,12.1,103125,17886,32289000,9130962,126624,19097,113750,29555,,,,,24000,92209,197,58,77.3,13.3,127597,12846,96,43,37.6,14.3,22729,7752,90,35,35.3,10.8,40461,21495,13,12,5.1,4.5,7792,10054,6,7,2.4,2.7,,,6,10,2.4,3.9,5,9,5.3,9.2,719,190,44609.7,8206.5,16159803.69,18664.75756
413,1384288,Atlanta Regional Commission,Yes,944,City,2021,Woolsey town,77,25,1,3,1.3,3.9,0,14,0,18.2,0,20,0,25.7,4,4,5.2,5.2,5,16,6.5,20.3,14,13,18.2,16.4,12,8,15.6,9.1,9,8,11.7,10.3,11,10,14.3,12.1,21,16,27.3,18.8,5,25,6.5,32.1,19,21,24.7,25.7,32,15,41.6,14.7,105625,79951,13524700,9565237,175645,110360,112500,85195,,,,,19167,,62,26,80.5,21.4,190487,133022,19,14,24.7,16.3,23868,24826,35,18,45.5,18.1,27317,12725,1,3,1.3,3.9,,,4,5,5.2,6.3,,,0,14,0,18.2,0,14,0,40,231,90,55241.1,31287.4,3131317.469,8043.53263
428,1315172,Atlanta Regional Commission,Yes,508,City,2021,Chamblee city,12259,611,828,332,6.8,2.7,298,189,2.4,1.5,637,182,5.2,1.5,937,244,7.6,2,1229,284,10,2.3,2111,416,17.2,3.3,1746,369,14.2,2.9,1891,438,15.4,3.5,1157,282,9.4,2.3,1425,213,11.6,1.6,2700,489,22,3.8,3340,504,27.2,3.9,4794,638,39.1,4.8,76682,6244,1330656300,112492456,108545,7412,103388,26188,52716,29086,,,50876,7981,10448,580,85.2,2.1,115575,7912,1900,379,15.5,3,21190,1257,1455,422,11.9,3.4,25996,2431,281,114,2.3,0.9,7182,4004,47,43,0.4,0.4,2174,1423,915,263,7.5,2.1,484,144,17.5,4.7,29980,51,45712.8,2324.9,29013762.41,30839.86964
429,1316544,Atlanta Regional Commission,Yes,515,City,2021,Clarkston city,3807,305,202,109,5.3,2.8,106,132,2.8,3.5,507,247,13.3,6.4,400,153,10.5,3.9,614,218,16.1,5.6,1078,252,28.3,6.2,288,144,7.6,3.7,298,135,7.8,3.5,186,131,4.9,3.4,128,56,3.4,1.4,1215,337,31.9,8.5,1692,333,44.4,8,772,237,20.3,6,51122,5167,250319100,30395632,65752,6000,51730,8557,16438,13507,,,16975,2286,3563,253,93.6,10,62768,6425,416,158,10.9,4.1,15158,3434,524,169,13.8,4.3,16922,5350,242,166,6.4,4.3,11230,10722,183,129,4.8,3.4,8008,2960,1267,247,33.3,5.9,837,193,44.3,8.2,14553,29,18820.2,2036.3,6991957.684,19131.80924
430,1323536,Atlanta Regional Commission,Yes,567,City,2021,Doraville city,3807,436,58,46,1.5,1.2,75,59,2,1.5,443,238,11.6,6.1,545,198,14.3,4.9,583,205,15.3,5.1,703,305,18.5,7.7,512,333,13.4,8.6,601,226,15.8,5.7,162,73,4.3,1.9,125,74,3.3,1.9,1121,318,29.4,7.6,1286,367,33.8,8.8,1275,409,33.5,10,59636,7386,272105900,40695444,71475,6875,60876,7077,23485,4115,33304,18284,25389,3103,3424,433,89.9,4.8,70802,7580,1015,315,26.7,7.7,15672,6674,274,172,7.2,4.4,21932,19361,46,39,1.2,1,17565,12441,0,23,0,0.6,,,347,160,9.1,4.1,206,92,17.7,7,10691,44,26516.6,3532.7,18850633.51,35050.16536
440,1317776,Atlanta Regional Commission,Yes,525,City,2021,College Park city,6016,481,553,288,9.2,4.7,224,108,3.7,1.8,627,233,10.4,3.8,686,233,11.4,3.8,1107,399,18.4,6.5,850,213,14.1,3.3,769,270,12.8,4.4,680,254,11.3,4.1,151,73,2.5,1.2,369,134,6.1,2.2,2090,451,34.7,7,1957,452,32.5,7,1600,378,26.6,5.9,47706,7037,442342100,65807873,73528,9225,59292,16424,35852,17981,,,33623,5676,4818,405,80.1,2.1,72885,6431,1132,347,18.8,5.6,16657,6640,849,264,14.1,4.2,19891,8159,731,263,12.2,4.3,9970,1095,34,36,0.6,0.6,1476,837,2264,425,37.6,6.4,1061,305,59.5,13.3,14113,565,32003.8,4020.6,41997062.6,62575.83846
441,1342604,Atlanta Regional Commission,Yes,673,City,2021,Jonesboro city,1260,150,234,91,18.6,6.9,73,68,5.8,5.4,177,93,14,7.2,194,149,15.4,11.7,120,66,9.5,5.1,141,68,11.2,5.2,90,49,7.1,3.8,120,72,9.5,5.6,26,27,2.1,2.1,85,80,6.7,6.3,678,209,53.8,15.3,261,95,20.7,7.1,236,92,18.7,6.9,33621,7822,77839000,27926374,61777,20908,37989,21454,,,,,15331,4930,841,140,66.7,7.8,68135,29395,475,180,37.7,13.6,18625,5426,208,104,16.5,8,36198,25733,275,148,21.8,11.5,8191,5865,61,38,4.8,3,1397,599,524,151,41.6,10.9,180,83,49,18,4415,35,22969.5,5881.5,11248292.79,26023.49095
442,1347616,Atlanta Regional Commission,Yes,701,City,2021,Lovejoy city,3053,339,292,223,9.6,7.2,31,49,1,1.6,254,141,8.3,4.5,245,141,8,4.5,229,157,7.5,5.1,866,352,28.4,11.1,521,275,17.1,8.8,379,184,12.4,5.9,149,112,4.9,3.6,87,73,2.8,2.4,822,303,26.9,9.5,1095,386,35.9,12,1049,349,34.4,10.8,59184,5792,217318400,33323166,71182,7527,58923,7937,59167,25748,23250,6089,54060,2162,2586,335,84.7,5.7,78286,8042,431,175,14.1,5.5,13528,4266,370,184,12.1,5.9,10827,2847,117,97,3.8,3.1,9250,10788,66,89,2.2,2.9,6955,6579,730,344,23.9,11,387,273,23.2,16,10429,21,21789,2960.5,10939009.75,38754.89511
450,1323900,Atlanta Regional Commission,Yes,569,City,2021,Douglasville city,13792,556,790,281,5.7,2,475,245,3.4,1.8,971,405,7,2.9,817,298,5.9,2.2,1486,461,10.8,3.3,2606,513,18.9,3.6,2033,478,14.7,3.4,2334,517,16.9,3.7,1123,399,8.1,2.9,1157,310,8.4,2.2,3053,626,22.1,4.4,4092,690,29.7,4.9,5490,809,39.8,5.6,72753,7977,1255075700,84637163,91000,4919,81165,8426,50099,13312,,,51708,3991,11988,603,86.9,2.6,89542,5335,3019,490,21.9,3.4,22244,1956,2123,405,15.4,2.9,27905,4997,317,123,2.3,0.9,12184,1682,301,205,2.2,1.5,3854,2112,1762,449,12.8,3.2,1204,335,24.3,6.2,35252,37,36076.8,2185.3,86605159.1,234824.2878
452,1324768,Atlanta Regional Commission,Yes,573,City,2021,Dunwoody city,21496,792,819,621,3.8,2.9,151,113,0.7,0.5,539,167,2.5,0.8,1380,373,6.4,1.7,2065,541,9.6,2.5,2593,472,12.1,2.2,2497,436,11.6,2,3570,446,16.6,2,2280,313,10.6,1.4,5602,436,26.1,1.8,2889,752,13.4,3.5,4658,718,21.7,3.2,8347,698,38.8,2.9,106710,7349,3362859800,170622412,156441,5457,161111,9846,76932,36168,,,75833,11452,17788,681,82.8,0.9,158944,6594,4613,504,21.5,2.2,28275,460,3967,548,18.5,2.5,38054,6608,373,138,1.7,0.6,11568,2716,124,84,0.6,0.4,3052,2236,449,214,2.1,1,355,186,5.5,2.8,51458,47,66443.2,2793.7,49972731.06,32805.63062
463,1336276,Atlanta Regional Commission,Yes,635,City,2021,Hampton city,2410,421,70,70,2.9,2.9,44,58,1.8,2.4,296,172,12.3,6.8,275,199,11.4,8,247,221,10.2,9,418,209,17.3,8.1,537,307,22.3,12.1,306,179,12.7,7.1,124,99,5.1,4,93,80,3.9,3.3,685,279,28.4,10.4,665,304,27.6,11.7,967,369,40.1,13.6,67808,20347,187900000,46798096,77967,13841,72685,19711,82542,40340,,,75926,9545,2152,376,89.3,0.3,75537,15205,428,187,17.8,7.1,15122,4181,321,156,13.3,6,25875,12314,117,116,4.9,4.7,7885,2918,34,44,1.4,1.8,,,317,185,13.2,7.3,234,158,30.9,18.9,8244,33,23718.4,5691.4,31665190.88,49114.66354
474,1342425,Atlanta Regional Commission,Yes,672,City,2021,Johns Creek city,28439,918,523,209,1.8,0.7,318,148,1.1,0.5,541,179,1.9,0.6,601,210,2.1,0.7,1642,424,5.8,1.5,2865,613,10.1,2.1,2419,398,8.5,1.4,4833,555,17,1.9,5315,806,18.7,2.8,9382,662,33,2.1,1983,376,7,1.3,4507,746,15.8,2.6,12567,1057,44.2,3.4,153882,8667,5054753200,222579839,177740,5323,166627,7486,,,153472,14287,75560,16104,25327,876,89.1,1.1,173814,4823,6012,556,21.1,1.8,27251,1831,5230,560,18.4,1.9,36264,3260,740,242,2.6,0.8,10807,1406,538,194,1.9,0.7,6826,703,833,401,2.9,1.4,578,371,4.7,3,82230,113,62079.5,2467.7,118507303.5,76243.32642
478,1345488,Atlanta Regional Commission,Yes,686,City,2021,Lawrenceville city,10762,542,707,225,6.6,2.1,380,292,3.5,2.7,714,199,6.6,1.8,931,256,8.7,2.3,2123,481,19.7,4.4,1867,371,17.3,3.3,1304,370,12.1,3.4,1948,477,18.1,4.3,356,146,3.3,1.3,432,163,4,1.5,2732,491,25.4,4.4,3990,608,37.1,5.3,3608,621,33.5,5.5,55608,5613,779391900,63487158,72421,4637,66260,9037,19892,4469,,,22957,4599,8244,453,76.6,1.7,76596,5969,2764,464,25.7,4.1,19193,1253,1522,322,14.1,2.9,34039,9528,746,203,6.9,1.9,8444,826,384,297,3.6,2.8,7840,7333,1648,408,15.3,3.7,1125,360,28.6,8.6,30465,66,26860.4,1833.2,52459208.99,95459.86106
479,1355776,Atlanta Regional Commission,Yes,760,City,2021,Norcross city,6488,425,189,104,2.9,1.6,157,99,2.4,1.5,595,253,9.2,3.9,447,149,6.9,2.3,954,314,14.7,4.7,905,296,13.9,4.5,809,218,12.5,3.3,1228,311,18.9,4.6,597,337,9.2,5.2,607,172,9.4,2.6,1388,327,21.4,4.8,1859,431,28.7,6.4,2634,507,40.6,7.4,74921,10398,626649100,61249324,96586,7007,87619,14555,35700,14836,,,37569,5577,5822,422,89.7,2.8,95823,7853,956,216,14.7,3.2,23722,4553,549,139,8.5,2.1,25253,6922,107,52,1.6,0.8,9788,1417,51,35,0.8,0.5,2480,2046,494,167,7.6,2.5,315,106,12.9,4,17530,48,36089.7,2882.7,23253593.94,34892.96556
480,1374180,Atlanta Regional Commission,Yes,866,City,2021,Sugar Hill city,8307,445,307,169,3.7,2,198,122,2.4,1.5,273,152,3.3,1.8,351,144,4.2,1.7,849,300,10.2,3.6,1470,559,17.7,6.7,859,184,10.3,2.1,1864,389,22.4,4.5,727,215,8.8,2.5,1409,268,17,3.1,1129,296,13.6,3.5,2319,634,27.9,7.5,3450,481,41.5,5.3,94520,11656,976538600,77039491,117556,6808,102196,13127,46612,9816,64022,13380,49565,4159,7426,465,89.4,2.9,119295,7261,1500,252,18.1,2.9,20542,2353,1121,257,13.5,3,23572,6647,194,86,2.3,1,9496,4155,270,217,3.3,2.6,5906,3236,289,143,3.5,1.7,213,123,5.7,3.2,24947,45,38773.7,2566.1,42363475.97,141412.4659
492,1351670,Atlanta Regional Commission,Yes,733,City,2021,Milton city,15192,648,469,371,3.1,2.4,166,155,1.1,1,371,209,2.4,1.4,310,180,2,1.2,549,289,3.6,1.9,1411,427,9.3,2.8,2211,571,14.6,3.7,2617,590,17.2,3.8,1399,317,9.2,2,5689,703,37.4,4.3,1316,488,8.7,3.2,1960,515,12.9,3.3,6227,880,41,5.5,142845,15421,3254322500,270930898,214213,15315,178317,12344,82402,32031,,,83773,7604,13470,643,88.7,1.9,208128,17419,2482,634,16.3,4.1,26677,5258,2129,399,14,2.6,33635,5848,303,146,2,1,13966,8497,61,91,0.4,0.6,,,194,93,1.3,0.6,105,54,1.6,0.8,41029,51,79467.9,5798.5,148210934.2,94801.52108
501,1361040,Atlanta Regional Commission,Yes,789,City,2021,Pine Lake city,429,111,15,16,3.5,3.6,9,15,2.1,3.5,10,9,2.3,2.1,54,52,12.6,11.8,48,39,11.2,8.6,96,47,22.4,9.2,43,32,10,7,98,81,22.8,17.9,51,36,11.9,7.8,5,8,1.2,1.8,88,58,20.5,12.4,144,61,33.6,11.1,192,94,44.8,18.6,68359,21860,34921000,10856702,81401,14030,91023,80149,,,,,28661,13792,387,105,90.2,7.4,71515,9056,81,33,18.9,5.9,20683,2945,78,37,18.2,7.2,26022,7854,36,45,8.4,10.3,9528,5526,2,4,0.5,0.9,,,41,48,9.6,10.9,31,44,31.6,39.5,888,259,39280.3,7655.1,955416.7578,6744.585305
513,1367284,Atlanta Regional Commission,Yes,829,City,2021,Roswell city,35435,1196,632,231,1.8,0.6,426,174,1.2,0.5,1388,462,3.9,1.3,1499,314,4.2,0.9,2659,427,7.5,1.2,4392,553,12.4,1.5,3733,525,10.5,1.4,6795,917,19.2,2.5,4060,570,11.5,1.6,9851,839,27.8,2.2,3945,629,11.1,1.7,7051,698,19.9,1.9,14588,1200,41.2,3.1,122924,8037,5778728500,300016322,163080,6433,147885,4363,47762,16502,71350,32167,51942,3772,29961,1010,84.6,4,161090,7535,9131,759,25.8,2,27412,1281,8145,774,23,2,43162,4740,709,213,2,0.6,10830,2717,550,237,1.6,0.7,2990,379,1281,371,3.6,1,843,258,7.2,2.1,92770,53,62878.4,3172.1,158805037,116078.2818
525,1373816,Atlanta Regional Commission,Yes,865,City,2021,Stone Mountain city,2513,327,142,97,5.7,3.8,31,42,1.2,1.7,469,348,18.7,13.6,383,193,15.2,7.4,346,126,13.8,4.7,429,145,17.1,5.3,315,127,12.5,4.8,176,73,7,2.8,198,131,7.9,5.1,24,31,1,1.2,1025,412,40.8,15.5,775,192,30.8,6.5,689,197,27.4,7,44950,10118,154315300,21246696,61407,2763,54886,10027,27718,7237,62571,43365,28830,3127,2098,320,83.5,6.6,57475,12239,653,175,26,6.1,18057,1468,532,182,21.2,6.7,25734,5674,209,127,8.3,4.9,11223,9328,32,27,1.3,1.1,8725,789,455,154,18.1,5.7,273,112,38.1,13.4,6638,33,25142.2,2643.4,6224284.07,23040.29573
535,1377652,Atlanta Regional Commission,Yes,897,City,2021,Tucker city,14906,736,847,227,5.7,1.5,482,210,3.2,1.4,742,238,5,1.6,1015,292,6.8,1.9,1907,453,12.8,3,1823,310,12.2,2,2015,424,13.5,2.8,2849,456,19.1,2.9,1649,374,11.1,2.4,1577,327,10.6,2.1,3086,487,20.7,3.1,3730,549,25,3.5,6513,726,43.7,4.4,80311,4077,1541028900,119737906,103383,6202,101912,8025,34781,14535,69323,36398,41371,8344,11558,710,77.5,2.8,103013,5042,4602,513,30.9,3.1,24715,2450,3690,446,24.8,2.7,36600,7207,476,163,3.2,1.1,12451,1982,237,137,1.6,0.9,4871,2574,1685,388,11.3,2.5,849,288,23.8,7.8,36994,55,43811.1,3188.4,76589696.38,59667.68599
537,1379948,Atlanta Regional Commission,Yes,917,City,2021,Waleska city,136,69,3,4,2.2,2.7,7,9,5.1,6.1,3,15,2.2,10.9,49,66,36,44.6,6,15,4.4,10.9,28,17,20.6,6.4,19,12,14,5.3,15,13,11,7.6,0,14,0,10.3,6,8,4.4,5.4,62,68,45.6,44.2,34,23,25,10.6,34,22,25,10.6,50000,43971,9928700,4156604,73005,48021,,,,,,,27803,1829,88,60,64.7,29.5,74027,61741,54,34,39.7,14.8,20372,16969,43,33,31.6,18.2,25100,25708,37,57,27.2,39.6,10386,21442,0,14,0,10.3,,,4,3,2.9,1.6,0,14,0,24.1,764,132,13768.1,6862.9,6039378.285,18798.61477
